Apr 18 21:59:58 <nicckkk>	Exactly on time
Apr 18 22:00:11 <goncalopp>	We're about to start, nick :)
Apr 18 22:00:35 <nicckkk>	pirate pad link?
Apr 18 22:01:21 <goncalopp>	just a moment, I'll update the channel message
Apr 18 22:02:04 <nicckkk>	Sounds good
Apr 18 22:03:33 >ChanServ<	SET ##programming-classes ENTRYMSG Today's pad is http://piratepad.net/http://piratepad.net/1NHE9L0Go9
Apr 18 22:03:33 -ChanServ-	The entry message for ##programming-classes has been set to Today's pad is http://piratepad.net/http://piratepad.net/1NHE9L0Go9
Apr 18 22:04:30 <goncalopp>	ok everyone, we're starting, here's today's pad  http://piratepad.net/http://piratepad.net/1NHE9L0Go9
Apr 18 22:05:06 *	gunther (~gunther@CPE-24-163-139-21.new.res.rr.com) has joined ##programming-classes
Apr 18 22:05:10 <gunther>	hey guys
Apr 18 22:06:08 <goncalopp>	Hi gunther. We's just starting
Apr 18 22:06:11 <Usurper>	4oh4
Apr 18 22:06:16 <gunther>	great
Apr 18 22:06:22 *	Fane (Fane@095160200229.wroclaw.vectranet.pl) has joined ##programming-classes
Apr 18 22:06:31 <Fane>	class over?
Apr 18 22:06:35 <nicckkk>	Class starting
Apr 18 22:06:45 <goncalopp>	class just starting, Fane
Apr 18 22:07:12 <goncalopp>	everyone, please join the pad so we can begin
Apr 18 22:07:20 <goncalopp>	I'll wait a minute or two
Apr 18 22:07:31 <gunther>	the pad?
Apr 18 22:08:02 <Usurper>	That piratepad link is 404 to me.
Apr 18 22:08:09 >ChanServ<	SET ##programming-classes ENTRYMSG Today's pad is http://piratepad.net/1NHE9L0Go9
Apr 18 22:08:09 -ChanServ-	The entry message for ##programming-classes has been set to Today's pad is http://piratepad.net/1NHE9L0Go9
Apr 18 22:08:13 <goncalopp>	yeah, my bad, sorry
Apr 18 22:08:22 <goncalopp>	http://piratepad.net/1NHE9L0Go9
Apr 18 22:09:38 <neetismurder>	uh-oh, we freedom here
Apr 18 22:09:57 <goncalopp>	?
Apr 18 22:10:41 <gunther>	goncalopp, why you hate freedom?
Apr 18 22:10:47 <neetismurder>	w
Apr 18 22:11:10 <goncalopp>	PM please
Apr 18 22:11:11 <nicckkk>	Goncalopp, I also have to leave in half an hour, so I'll get the first part of the lesson then read the rest. Is that alright?
Apr 18 22:11:26 <goncalopp>	sure nick
Apr 18 22:11:36 <goncalopp>	everyone, we're starting
Apr 18 22:11:42 <gunther>	okay
Apr 18 22:11:52 <Zeta_Labda>	alright!
Apr 18 22:12:03 <goncalopp>	I'll cover iterables first
Apr 18 22:12:26 <goncalopp>	hope everyone got the url, it's http://piratepad.net/1NHE9L0Go9
Apr 18 22:12:29 <goncalopp>	continuing...
Apr 18 22:12:57 <goncalopp>	an iterable is something you iterate over, obviously
Apr 18 22:13:11 <goncalopp>	iterating meaning, roughly, go through, one by one
Apr 18 22:13:32 <goncalopp>	An list is an example of an iterable, since it is composed o discrete items
Apr 18 22:13:41 <goncalopp>	I'll exemplify the creation of a list:
Apr 18 22:13:56 <goncalopp>	you can print lists directly:
Apr 18 22:14:13 <goncalopp>	try that for a moment, to see tthe output format
Apr 18 22:14:47 <goncalopp>	Now, a list can have any type inside, including integers, floats, strings, etc.
Apr 18 22:15:43 <goncalopp>	now, you can append something to a list (that means, adding something on the list's end)
Apr 18 22:15:47 <Zeta_Labda>	are dictionary´s iterables?
Apr 18 22:16:39 <goncalopp>	not by themselves, no, but they have methods that iterate over their keys and values
Apr 18 22:16:47 <goncalopp>	we'll cover dictionaries in another class, probably
Apr 18 22:17:16 <Zeta_Labda>	alright
Apr 18 22:17:20 <goncalopp>	now, how can you access an element in a list?
Apr 18 22:17:49 <goncalopp>	str_list[0] is an example of indexed access
Apr 18 22:18:25 <goncalopp>	in many programming classes, you can access the elements of a list/array by providing it's index
