Apr 29 22:05:28 <goncalopp>	hello everyone
Apr 29 22:05:33 <neetismurder>	hi
Apr 29 22:05:46 <goncalopp>	how are you? :)
Apr 29 22:06:03 <neetismurder>	I'm okay, and you?
Apr 29 22:06:10 <Anonymous968574>	I'm fine
Apr 29 22:06:27 <goncalopp>	pretty fine, weekends rule
Apr 29 22:06:44 <Anonymous968574>	It's already Monday morning here
Apr 29 22:06:44 <goncalopp>	good to see you again, anon :)
Apr 29 22:06:56 <goncalopp>	kal-ei, you're there?
Apr 29 22:07:07 <kal-ei>	yup
Apr 29 22:07:18 <kal-ei>	hi all
Apr 29 22:07:26 <neetismurder>	hey
Apr 29 22:07:28 <goncalopp>	hoa, you're afar from utc, anon
Apr 29 22:07:50 <Anonymous968574>	Yep, I'm in Australia
Apr 29 22:08:12 <goncalopp>	I see
Apr 29 22:08:26 <goncalopp>	Well then, everybody in the pad! :P
Apr 29 22:08:41 <kal-ei>	link?
Apr 29 22:09:00 <neetismurder>	http://piratepad.net/kY4rfOA08c
Apr 29 22:09:01 <goncalopp>	you should have received it when you joined the channel, but here it is
Apr 29 22:09:08 <goncalopp>	thanks nim :)
Apr 29 22:09:58 <goncalopp>	We'll be covering OOP today, which, as you might know, stands for Object Oriented Programming
Apr 29 22:10:38 <goncalopp>	OOP is a programming paradigm that consists in a strict modularization of your code into separate components
Apr 29 22:11:29 <goncalopp>	generally speaking, this enables you to enable code that is cleaner, more readable, and, most importantly, *reusable*
Apr 29 22:12:17 <goncalopp>	reusability is very important in programming projects, since you don't want to do something you've done earlier again, in another project
Apr 29 22:12:55 <goncalopp>	Now, some important concepts in OOP are: classes, object, interfaces and inheritance
Apr 29 22:13:33 <goncalopp>	python doesn't support interfaces directly, but I'll cover them, since they are a fundamental aspect of OOP
Apr 29 22:13:46 <goncalopp>	Now, let's start with classes
Apr 29 22:14:14 <goncalopp>	classes represent a *concept*. Something you can describe in your mind.
Apr 29 22:15:15 <goncalopp>	Let's say you write a number in a paper. One thing is the lines you've just drawn on the paper - that is a representation. Another, entirely different, is the *concept* of the number you've just written
Apr 29 22:15:32 <goncalopp>	So, maybe I'll give a IRL example:
Apr 29 22:16:01 <goncalopp>	this is the simplest class there is
Apr 29 22:16:16 <goncalopp>	note class names conventionally start with upper case
Apr 29 22:16:30 <goncalopp>	also, generaly people use the so called Camel casing
Apr 29 22:16:38 <goncalopp>	ThisIsAnExampleOfCamelCasing
Apr 29 22:17:09 <goncalopp>	so, if you see a word with a first uppercase character, you know it's a class.
Apr 29 22:17:36 <goncalopp>	now, classes can have both attributes and functions
Apr 29 22:17:54 <goncalopp>	attributes are just variables you declarate inside a class
Apr 29 22:18:26 <goncalopp>	so, a Car would have, for example, a state, which would tell you if the engine's running:
Apr 29 22:19:18 <goncalopp>	as you can see, __init__ is a function - a particular one, though. __init__ is called when a class is instantiated
Apr 29 22:19:26 <goncalopp>	we'll get to instantiation in a minute
Apr 29 22:19:44 <goncalopp>	now, as you can see, the "self" work is the first argument in the class
Apr 29 22:20:05 <goncalopp>	generally speaking, all class functions must have self as the first argument
Apr 29 22:20:25 <goncalopp>	self.engine_running declares that same named variable, ofc
Apr 29 22:20:47 <goncalopp>	so, the Car starts (after instantiation) with the engine stopped
Apr 29 22:21:06 <goncalopp>	ok, so, what's instantiation? To understand that, we need to know about objects!
Apr 29 22:21:28 <goncalopp>	objects are a particular instance (materialization) of the class concept 
Apr 29 22:21:56 <goncalopp>	so, the "Car" concept is a class, but your_car is an object of the Car Class
Apr 29 22:22:40 <goncalopp>	it's sometimes tricky to separate the two concepts, but always think which one of them is a concept, that should clear it
Apr 29 22:22:45 <goncalopp>	all good?
Apr 29 22:23:03 <neetismurder>	yeah
Apr 29 22:23:04 <Anonymous968574>	is String a class and for example "banana" and object?
Apr 29 22:23:11 <Anonymous968574>	an object*
Apr 29 22:24:05 <goncalopp>	that's a tricky question. Strings are a basetype in python. types, in most languages, are very different from objects. In python, however, *everything* is an object, or can be manipulated as such
Apr 29 22:24:18 <goncalopp>	so, in python, the answer is yes, mostly
Apr 29 22:24:34 <Anonymous968574>	ok, then I think I get it
Apr 29 22:24:38 <neetismurder>	so classes are objects too?
Apr 29 22:24:48 <goncalopp>	erm...
Apr 29 22:25:25 <goncalopp>	yes....... but let's not go there now,. For now, they're completely different things :) we'll see more on that on the introspection class
Apr 29 22:26:12 <goncalopp>	truth is, nim, in python, you can define and redefine classes on runtime, and do all sort of very strange advanced stuff
Apr 29 22:26:46 <goncalopp>	but the point is: you should *never* need it. If you think you need to change a class on runtime, you're doing something very *very* wrong
Apr 29 22:27:15 <neetismurder>	haha ok
Apr 29 22:27:30 <goncalopp>	ok then :) instantiation!
Apr 29 22:27:47 <goncalopp>	this creates the my_car object
Apr 29 22:28:26 <goncalopp>	don't think that Car is a function - it is not.  Python just uses the same syntax for function call and instantiation.
Apr 29 22:28:55 <goncalopp>	now that you have my_car, you can access the attributes inside
Apr 29 22:29:10 <goncalopp>	here's how you'd do it
Apr 29 22:29:23 <goncalopp>	generally, though, doing so is a bad practice!
Apr 29 22:29:38 <goncalopp>	why? because it breaks the "principle of encapsulation"
Apr 29 22:30:13 <goncalopp>	which says: anything external to a class should know *nothing* about the classe's implementation
Apr 29 22:30:30 <goncalopp>	so, the correct way of doing this would be:
Apr 29 22:30:58 <goncalopp>	ok?
Apr 29 22:31:31 <kal-ei>	jup
Apr 29 22:32:11 <neetismurder>	so you have to reinstantiate my_car or it won't inhererit the new function?
Apr 29 22:32:56 <goncalopp>	hmm, let's see if I understood that.. my_car is only instatiated once, that's line 7...
Apr 29 22:33:09 <goncalopp>	all the objects of the class will have the class function's
Apr 29 22:33:12 <goncalopp>	*functions
Apr 29 22:33:37 <goncalopp>	since all Car are alike :)
Apr 29 22:33:55 <Anonymous968574>	does it run __init__ when it's created?
Apr 29 22:33:56 <neetismurder>	I instantiated it with the first Car class in the interpreter, changed the Car class, and my_car didn't automatically inherit it
Apr 29 22:34:08 <neetismurder>	I had to reinstantiate it
Apr 29 22:34:27 <goncalopp>	oh, you mean changing the class implementation *after* instantiation?
Apr 29 22:34:32 <neetismurder>	yes
Apr 29 22:34:51 <goncalopp>	that's a big no-no :) never change a class declaration
Apr 29 22:35:07 <goncalopp>	a concept should be definitive for the whole duration of your program
Apr 29 22:35:19 <goncalopp>	which is the interpreter lifetime, in your case
Apr 29 22:35:57 <goncalopp>	In any case, I believe what's happening is that python will maintain a reference to the previous class. It doesn't look it up by name
Apr 29 22:36:30 <goncalopp>	you can do my_car.__class__==Car to check that, btw
Apr 29 22:36:36 <goncalopp>	anyway!
Apr 29 22:36:37 <goncalopp>	:P
Apr 29 22:36:52 <goncalopp>	all you gentlemen started your engines without problem?:P
Apr 29 22:37:06 <Anonymous968574>	it gave me an eror
Apr 29 22:37:07 <Anonymous968574>	TypeError: start_engine() takes no arguments (1 given)
Apr 29 22:37:11 <neetismurder>	takes no arguments
Apr 29 22:37:15 <neetismurder>	no parens needed
Apr 29 22:37:38 <goncalopp>	actually, they are
Apr 29 22:37:43 <goncalopp>	I forgot the self argument :)
Apr 29 22:37:50 <goncalopp>	there
Apr 29 22:38:17 <Anonymous968574>	all good now
Apr 29 22:38:23 <goncalopp>	ok
Apr 29 22:38:40 <goncalopp>	let's add acouple more methods
Apr 29 22:38:50 <goncalopp>	what else should our car state have?
Apr 29 22:38:54 <neetismurder>	what is <bound method Car.start_engine of <__main__.Car instance at 0x7f03150ecb00>> mean?
Apr 29 22:39:19 <goncalopp>	that is a function reference :) an object that represents a function
Apr 29 22:39:40 <goncalopp>	you can actually save a function reference in a variable and call the function: variable()
Apr 29 22:40:10 <goncalopp>	anywa, what'll we add? speed?
Apr 29 22:40:34 <goncalopp>	there
Apr 29 22:42:29 <goncalopp>	everyone get's the code till now?
Apr 29 22:43:00 <Anonymous968574>	yep
Apr 29 22:43:11 <kal-ei>	yup
Apr 29 22:43:47 <neetismurder>	yeah
Apr 29 22:43:56 <goncalopp>	ok. please notice this: though our class functions have one argument (self), you call them with none. That's because, when you call a object function, python will automatically add the object reference as the first argument to the call
Apr 29 22:44:15 <goncalopp>	thus, you can use self.something to modify the object's attributes
Apr 29 22:44:37 <Anonymous968574>	just like when you use argv the first argument is the directory of the file?
Apr 29 22:44:45 <goncalopp>	now, I said before Car is not a function. However, instantiation *does* call a function, and that is __init__
Apr 29 22:45:05 <goncalopp>	so, if you specify arguments on __init__, you must specify them on instatiation:
Apr 29 22:45:28 <goncalopp>	like so
Apr 29 22:46:03 <goncalopp>	I think that covers classes and objects. can we proceed to interfaces?
Apr 29 22:46:44 <kal-ei>	this is the most express programming class I have ever seen
Apr 29 22:46:52 <neetismurder>	wouldn't start_with_engine_running have to be defined?
Apr 29 22:46:54 <goncalopp>	express as in fast?
Apr 29 22:47:37 <goncalopp>	nim, it is refined in the function declaration, just as any function argument. it is *not* a object/class attribute
Apr 29 22:47:37 <neetismurder>	oh it's passed in instantiation, nevermind
Apr 29 22:47:38 <kal-ei>	yes, but not like can't follow
Apr 29 22:48:12 <goncalopp>	ok. Let me know if you don't later, I'll slow down
Apr 29 22:48:43 <goncalopp>	I only cover the very  basic concepts here. you obviously should practice all this after class :) 
Apr 29 22:49:28 <goncalopp>	or *through* the class, if you can manage that (I'm looking at your introspection explorations, nim :)
Apr 29 22:49:39 <goncalopp>	ok then! interfaces...
Apr 29 22:50:04 <kal-ei>	why is my_car= Car( False )
Apr 29 22:50:21 <Anonymous968574>	because now __init__ takes two arguments
Apr 29 22:50:34 <Anonymous968574>	in this case my_car and False
Apr 29 22:50:42 <kal-ei>	ah
Apr 29 22:50:43 <goncalopp>	Sure enough. self is ignored, so that False is the value of start_with_engine_running
Apr 29 22:50:50 <kal-ei>	ok
Apr 29 22:51:19 <goncalopp>	ok, all clear?
Apr 29 22:51:46 <kal-ei>	yup
Apr 29 22:51:52 <neetismurder>	y
Apr 29 22:51:56 <Anonymous968574>	yep
Apr 29 22:52:06 <goncalopp>	ok
Apr 29 22:52:30 <goncalopp>	interfaces are a way to specify functionality without specifying implementation
Apr 29 22:52:42 <goncalopp>	Think of the concept of a Vehicle
Apr 29 22:52:57 <goncalopp>	All vehicles are able to travel() 
Apr 29 22:53:20 <goncalopp>	however, a car will do so by spin_wheels(), while a plane will fly()
Apr 29 22:53:43 <goncalopp>	a Car and a Plane are both  Vehicle though
Apr 29 22:54:09 <goncalopp>	So, Vehicle is a interface, since it specifies a common functionality without saying anything about to *how* we implement it
Apr 29 22:55:14 <goncalopp>	you can think of a interface as a kind of C header file, if you're familiar with that
Apr 29 22:55:39 <goncalopp>	In java, for example, we say that a class *implements* a interface, when it provides all the interface's declared functions
Apr 29 22:56:30 <goncalopp>	As I said earlier, python has no *direct* support for interfaces; that doesn't mean you shouldn't use them, though
Apr 29 22:56:57 <goncalopp>	You can fake a interface by using a class with no function implementations, like this:
Apr 29 22:58:03 <goncalopp>	there
Apr 29 22:58:25 <goncalopp>	now, how do you say a car implements a interface?
Apr 29 22:58:27 <neetismurder>	what's the difference between raise and throw?
Apr 29 22:58:30 <goncalopp>	through inheritance!
Apr 29 22:58:50 <goncalopp>	inheritance is the capability of classes to *inherit* functionality from other classes
Apr 29 22:59:13 <goncalopp>	let's say you have a fancy Limousine
Apr 29 22:59:35 <goncalopp>	that has the serve_coffee() function, or whatever
Apr 29 23:00:43 <goncalopp>	obviously a Limousine is a Car ! you don't want to write all the car functionality again, it would be a waste of time
Apr 29 23:01:10 <goncalopp>	So, you say that Limousine is a descendent of Car, thus inheriting all its capabilities
Apr 29 23:01:12 <goncalopp>	like so:
Apr 29 23:01:23 <goncalopp>	there :)
Apr 29 23:01:39 <goncalopp>	now, you can so this:
Apr 29 23:02:23 <goncalopp>	and it works :)
Apr 29 23:03:07 <goncalopp>	any questions?
Apr 29 23:05:06 <kal-ei>	cen you assign functions to other variables like strings too?
Apr 29 23:05:41 <goncalopp>	hm, you mean, declare a new function to a single string instance?
Apr 29 23:06:32 <kal-ei>	I guess
Apr 29 23:07:17 <goncalopp>	the short answer is no. the long answer is: you should be able to do it, if strings were *really* objects
Apr 29 23:07:28 <goncalopp>	you could, to my_limo, for example
Apr 29 23:07:29 <kal-ei>	ok
Apr 29 23:08:01 <kal-ei>	yes, but that's a class object already, not a string
Apr 29 23:08:04 <goncalopp>	but just don't. Never change the specification of an object. 99.99% of the time, it's a Very Bad Idea (tm)
Apr 29 23:08:15 <kal-ei>	ok
Apr 29 23:08:59 <goncalopp>	most of the time, you'd write a function that'd take a string, kal-ei
