Jun 23 19:05:49 <goncalopp>	hi everyone
Jun 23 19:05:54 <goncalopp>	sorry for the connection problems
Jun 23 19:06:06 <Anonymous968574>	hello
Jun 23 19:06:09 <Pecto>	Hello.
Jun 23 19:07:12 <goncalopp>	So, hopefully my wireless won't crash again, so we can start :)
Jun 23 19:07:26 >ChanServ<	SET ##programming-classes ENTRYMSG Linked list class starts at 18:00 UTC. Pad: http://piratepad.net/jlCA5YE9He
Jun 23 19:07:27 -ChanServ-	The entry message for ##programming-classes has been set to Linked list class starts at 18:00 UTC. Pad: http://piratepad.net/jlCA5YE9He
Jun 23 19:07:30 <Pecto>	Lmao, hopefully :)
Jun 23 19:07:43 <goncalopp>	Here's today's pad: http://piratepad.net/jlCA5YE9He
Jun 23 19:08:18 <goncalopp>	As I said earlier, we'll be covering linked lists today
Jun 23 19:08:43 <goncalopp>	I hope you guys remember the queue and stack data structures from last class?
Jun 23 19:09:18 <Pecto>	Mostly, if all goes wrong i got it here on my dekstop ^^
Jun 23 19:09:35 <Anonymous968574>	 yep
Jun 23 19:09:39 <goncalopp>	ok, great
Jun 23 19:09:55 <goncalopp>	what about "passing by value" and "passing by reference"?
Jun 23 19:10:08 <goncalopp>	I think it was covered on one of the first classes
Jun 23 19:10:53 <Anonymous968574>	I can't remember
Jun 23 19:11:06 <Pecto>	reference being the position of a specific item in a list?
Jun 23 19:11:23 <goncalopp>	hm, no. That's ok, we'll do a quick review
Jun 23 19:11:27 <goncalopp>	Here we go:
Jun 23 19:15:01 <goncalopp>	ok, I'll give you a minute to review this
Jun 23 19:16:30 <goncalopp>	actually, python does say "a is b"...
Jun 23 19:16:38 <goncalopp>	which is kind of unexpected
Jun 23 19:17:03 <goncalopp>	Ok, I'll show it a different way then
Jun 23 19:19:29 <goncalopp>	this suffices
Jun 23 19:20:33 <goncalopp>	do try and run it
Jun 23 19:20:41 <goncalopp>	and see if you are surprised by the result
Jun 23 19:21:21 <Anonymous968574>	huh
Jun 23 19:21:46 <goncalopp>	so? :)
Jun 23 19:21:59 <Anonymous968574>	Now I remember when you explained this with lists.
Jun 23 19:22:12 <goncalopp>	great :)
Jun 23 19:22:21 <goncalopp>	kubra, Pecto?
